[springmvc_hibernate_demo][INFO] [2017-10-23 14:21:38] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(259) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test20]}" onto public java.lang.String com.qin.controller.exercise.test20(org.springframework.ui.ModelMap)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test16]}" onto public java.lang.String com.qin.controller.exercise.test16(org.springframework.ui.ModelMap)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test19]}" onto public java.lang.String com.qin.controller.exercise.test19(org.springframework.ui.ModelMap)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test10/{imageId}]}" onto public org.springframework.http.ResponseEntity<byte[]> com.qin.controller.exercise.test10(java.lang.String) throws java.io.IOException
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test6]}" onto public void com.qin.controller.exercise.test6(java.io.OutputStream) throws java.io.IOException
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test7]}" onto public java.lang.String com.qin.controller.exercise.test7(org.springframework.ui.Model,java.lang.String)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test8/{itemId}]}" onto public byte[] com.qin.controller.exercise.test8(java.lang.String) throws java.io.IOException
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test9]}" onto public java.lang.String com.qin.controller.exercise.test9(org.springframework.http.HttpEntity<java.lang.String>)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test2.htmls]}" onto public org.springframework.web.servlet.ModelAndView com.qin.controller.exercise.test2(java.lang.String,java.lang.String)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test5/{select}],methods=[GET]}" onto public java.lang.String com.qin.controller.exercise.test5(org.springframework.ui.Model,java.lang.String,java.lang.String,java.lang.String,java.util.Map<java.lang.String, java.lang.Object>)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test3.htmls]}" onto public java.lang.String com.qin.controller.exercise.test3(org.springframework.ui.Model,com.qin.domain.User)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test4.htmls]}" onto public java.lang.String com.qin.controller.exercise.test4(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/test1.htmls]}" onto public java.lang.String com.qin.controller.exercise.test1(java.lang.String,org.springframework.ui.Model)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/user/hello.html]}" onto public java.lang.String com.qin.controller.HelloWorldController.hello(org.springframework.ui.Model,java.lang.String)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:41] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry.register(531) | Mapped "{[/views/user/showInfo.htmls]}" onto public com.qin.domain.User com.qin.controller.UserController.showUserInfo(org.springframework.ui.ModelMap,java.lang.String)
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:42] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(532) | Looking for @ControllerAdvice: org.springframework.context.support.GenericApplicationContext@4566e5bd: startup date [Mon Oct 23 14:21:38 CST 2017]; root of context hierarchy
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:42] org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.initControllerAdviceCache(532) | Looking for @ControllerAdvice: org.springframework.context.support.GenericApplicationContext@4566e5bd: startup date [Mon Oct 23 14:21:38 CST 2017]; root of context hierarchy
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:42] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
  [springmvc_hibernate_demo][WARN] [2017-10-23 14:21:42] org.hibernate.engine.jdbc.spi.SqlExceptionHelper.logExceptions(129) | SQL Error: 1062, SQLState: 23000
  [springmvc_hibernate_demo][ERROR] [2017-10-23 14:21:42] org.hibernate.engine.jdbc.spi.SqlExceptionHelper.logExceptions(131) | Duplicate entry '1' for key 'PRIMARY'
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:42] org.hibernate.engine.jdbc.batch.internal.AbstractBatchImpl.release(193) | HHH000010: On release of batch it still contained JDBC statements
  [springmvc_hibernate_demo][ERROR] [2017-10-23 14:21:42] org.hibernate.internal.SessionImpl$5.mapManagedFlushFailure(3166) | HHH000346: Error during managed flush [could not execute statement]
  [springmvc_hibernate_demo][INFO] [2017-10-23 14:21:42] org.springframework.context.support.AbstractApplicationContext.doClose(954) | Closing org.springframework.context.support.GenericApplicationContext@4566e5bd: startup date [Mon Oct 23 14:21:38 CST 2017]; root of context hierarchy
  
